trades,wins,losses,win_rate,profit_factor,net_profit_pct,max_drawdown_pct,expectancy_pct,avg_trade_pct,best_trade_pct,worst_trade_pct,strategy,symbol,interval,provider,candles,params,params_label,composite_score
73,25,48,34.25,0.6,-19.47,20.7,-0.145,-0.145,1.35,-2.22,gaussian_v62_profile,ACXUSDT,15m,bitget,2000,{},base,-6.7275
63,23,40,36.51,0.59,-20.55,19.19,-0.204,-0.204,4.08,-6.15,gaussian_v62_profile,NIGHTUSDT,15m,bitget,2000,{},base,-6.7431
54,19,35,35.19,0.55,-21.29,21.05,-0.28,-0.28,2.46,-3.35,gaussian_v62_profile,NEARUSDT,15m,bitget,2000,{},base,-7.5849
53,23,30,43.4,0.77,-20.84,25.94,-0.255,-0.255,4.87,-6.15,gaussian_v62_profile,VVVUSDT,15m,bitget,2000,{},base,-7.632
76,22,54,28.95,0.55,-21.96,22.03,-0.171,-0.171,1.44,-2.03,gaussian_v62_profile,XMRUSDT,15m,bitget,2000,{},base,-7.98
54,18,36,33.33,0.44,-21.65,22.4,-0.294,-0.294,1.55,-2.29,gaussian_v62_profile,BERAUSDT,15m,bitget,2000,{},base,-8.2673
70,22,48,31.43,0.47,-23.22,23.64,-0.221,-0.221,2.82,-1.94,gaussian_v62_profile,BCHUSDT,15m,bitget,2000,{},base,-8.7778
60,23,37,38.33,0.68,-23.87,26.02,-0.28,-0.28,5.23,-6.08,gaussian_v62_profile,CYSUSDT,15m,bitget,2000,{},base,-8.8383
53,29,24,54.72,0.98,-22.46,38.49,-0.04,-0.04,14.73,-6.15,gaussian_v62_profile,RIVERUSDT,15m,bitget,2000,{},base,-9.2442
62,25,37,40.32,0.69,-24.08,28.99,-0.262,-0.262,13.93,-6.15,gaussian_v62_profile,AINUSDT,15m,bitget,2000,{},base,-9.3492
